task_id,valid,scenario,source_success,tmf_success,adoption,source_repeat_bytes,tmf_repeat_bytes,repeat_bytes_saved,source_tokens,tmf_tokens,token_delta,stale_error
A01,True,A01,False,False,False,126,0,126,1234,1157,-77,False
A03,True,A03,True,True,False,47,47,0,2149,3576,1427,False
